country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tajikistan,45,51,55,65,74,87,90,109,125,127,132,145,163,197,221,205,215,222,245,259,315,351,
Turkmenistan,172,247,247,354,522,542,539,381,490,420,473,534,556,633,716,832,886,995,997,937,908,959,
Timor-Leste,,,,38.1,57.7,74.1,81.2,84.4,115,131,126,141,163,210,205,222,215,212,200,195,373,272,
Tonga,99.9,126,139,138,181,181,231,205,279,172,215,186,240,204,267,245,286,304,310,314,358,423,
Trinidad and Tobago,595,600,766,787,893,998,1090,1160,1070,1550,1480,1390,1380,1420,1450,1560,1690,1720,1710,1800,1860,1780,
Tunisia,297,315,338,363,392,410,440,482,506,544,585,631,655,680,688,651,664,673,672,698,746,784,
Turkey,437,448,470,481,533,581,699,775,834,846,870,912,916,972,1030,1050,1120,1150,1150,1210,1280,1390,
Tuvalu,565,478,358,402,273,284,344,321,331,374,466,451,428,476,498,512,754,1020,815,1130,903,1030,
Tanzania,35.5,46.7,54.7,66.2,76.7,91,127,121,102,95.9,104,107,101,97.5,86,81.5,93,97.3,104,101,81.1,95.9,
Uganda,48.1,48.9,51.7,48.3,51.7,74.3,94,96.7,103,118,142,163,138,132,124,116,110,89.5,94.9,94.3,103,119,
Ukraine,227,265,300,369,402,443,500,524,502,517,564,610,668,745,736,754,801,840,903,900,941,1080,
Uruguay,1030,1080,997,1020,945,978,1050,1110,1310,1340,1450,1560,1600,1690,1770,1830,1950,2040,2140,2280,2100,2340,
USA,4530,4880,5300,5710,6050,6400,6780,7130,7350,7600,7830,8020,8270,8430,8830,9250,9600,9900,10.3k,10.7k,11.8k,12k,12.5k
Uzbekistan,158,170,174,184,188,202,215,232,255,285,289,311,339,364,291,320,324,336,374,424,534,674,
St. Vincent and the Grenadines,271,284,310,328,344,362,383,427,426,448,457,458,492,496,509,511,554,574,613,630,686,778,
Venezuela,,,,,,,,,,,,,,,,,,,,78.9,96.8,103,
Vietnam,105,132,113,125,154,164,190,209,210,227,273,288,318,297,340,358,403,452,496,531,474,536,
Vanuatu,70.7,69.8,75.5,70.3,74,73.2,80.3,77.5,82.2,86.2,93.6,98.2,108,120,102,120,84.1,83.7,103,106,121,136,
Samoa,133,129,162,161,184,206,228,227,228,256,267,293,264,332,340,351,344,322,300,373,395,414,
Yemen,129,141,142,174,173,173,190,206,209,220,201,161,169,171,165,102,,,,,,,
South Africa,598,605,592,649,680,723,781,841,905,948,995,1060,1050,1100,1070,1090,1110,1110,1160,1190,1160,1210,
Zambia,72.2,87.3,110,118,115,142,134,119,123,150,125,129,136,160,133,149,148,162,167,237,212,236,
Zimbabwe,,,,,,,,,,,190,168,163,179,208,195,196,144,111,72,60.2,63.1,
